"","Date","Rain","Temperature"
"1","1/01/2007",0,27.18275862
"2","2/01/2007",0.110344828,16.42068966
"3","3/01/2007",23.63448276,17.81034483
"4","4/01/2007",2.537931034,17.05172414
"5","5/01/2007",0.165517241,19.27586207
"6","6/01/2007",0,25.17241379
"7","7/01/2007",0,29.22758621
"8","8/01/2007",0,26.24137931
"9","9/01/2007",0,21.53793103
"10","10/01/2007",10.07586207,18.63448276
"11","11/01/2007",0.931034483,23.20344828
"12","12/01/2007",0.055172414,27.03103448
"13","13/01/2007",0,31.42758621
"14","14/01/2007",0,35.7862069
"15","15/01/2007",0,20.68965517
"16","16/01/2007",2.234482759,21.59310345
"17","17/01/2007",0.089655172,24.97931034
"18","18/01/2007",0,19.93448276
"19","19/01/2007",0.4,20.13448276
"20","20/01/2007",0.420689655,24.89655172
"21","21/01/2007",0,30.20689655
"22","22/01/2007",0,27.04482759
"23","23/01/2007",0,26.93793103
"24","24/01/2007",0.165517241,29
"25","25/01/2007",0,31.89655172
"26","26/01/2007",0,34.40344828
"27","27/01/2007",0,36.93793103
"28","28/01/2007",0,39.15862069
"29","29/01/2007",0.8,33.44482759
"30","30/01/2007",0.35862069,28.98965517
"31","31/01/2007",0,24.44827586
"32","1/02/2007",0,26.22758621
"33","2/02/2007",0,34.71724138
"34","3/02/2007",0,35.81034483
"35","4/02/2007",0,21.67931034
"36","5/02/2007",0.055172414,25.43448276
"37","6/02/2007",0,26.22413793
"38","7/02/2007",0,30.0137931
"39","8/02/2007",0,20.97931034
"40","9/02/2007",0.055172414,28.94827586
"41","10/02/2007",0,30.8
"42","11/02/2007",0,28.36551724
"43","12/02/2007",0.055172414,24.29655172
"44","13/02/2007",0,27.34482759
"45","14/02/2007",0,25.55517241
"46","15/02/2007",1.4,22.13793103
"47","16/02/2007",0.289655172,22.68965517
"48","17/02/2007",5.951724138,20.4137931
"49","18/02/2007",0.634482759,24.29310345
"50","19/02/2007",0,24.98965517
"51","20/02/2007",0,30.76896552
"52","21/02/2007",0,33.97586207
"53","22/02/2007",0,26.56206897
"54","23/02/2007",0,25.9862069
"55","24/02/2007",0,27.59310345
"56","25/02/2007",0,30.63448276
"57","26/02/2007",0,29.9137931
"58","27/02/2007",1.944827586,33.15862069
"59","28/02/2007",0,20.64137931
"60","1/03/2007",7.786206897,21.45862069
"61","2/03/2007",13.62758621,20.22413793
"62","3/03/2007",1.551724138,23.0137931
"63","4/03/2007",0.089655172,30.04482759
"64","5/03/2007",0,35.8137931
"65","6/03/2007",0,39.6
"66","7/03/2007",0,40.42758621
"67","8/03/2007",0,28.67586207
"68","9/03/2007",0.220689655,20.36206897
"69","10/03/2007",0.44137931,22.17931034
"70","11/03/2007",0,26.08965517
"71","12/03/2007",0,29.31034483
"72","13/03/2007",0,31.82068966
"73","14/03/2007",0,26.16206897
"74","15/03/2007",0,23.6137931
"75","16/03/2007",0,25.63448276
"76","17/03/2007",0,31.44827586
"77","18/03/2007",0,33.26896552
"78","19/03/2007",3.117241379,25.1862069
"79","20/03/2007",0,27.06206897
"80","21/03/2007",0,26.01034483
"81","22/03/2007",0,23.1862069
"82","23/03/2007",2.620689655,18.36551724
"83","24/03/2007",0,25.41034483
"84","25/03/2007",0,28.41034483
"85","26/03/2007",0,20.34482759
"86","27/03/2007",18.52413793,15.59310345
"87","28/03/2007",1.737931034,14.87586207
"88","29/03/2007",0,22.08965517
"89","30/03/2007",0,28.23103448
"90","31/03/2007",0,24
"91","1/04/2007",0.255172414,18.91034483
"92","2/04/2007",2.710344828,23.54482759
"93","3/04/2007",0,27.82413793
